"","CensusTract","lng1","lat1","lng2","lat2","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","centerlat","centerlng"
"77",32003005006,-115.056336,36.1372,-115.04718,36.129667,"Nevada","Clark County",4220,1660,2560,30.8,40.8,23.8,0,1.9,0,3272,36212,5376,18259,3130,17.7,20.3,15.1,38.1,30.7,4.6,11.5,57.8,18,15.1,0,6.8,2.3,29.7,1637,91.3,7.8,0.9,0,13.9,36.1334335,-115.051758
"78",32003005352,-115.056158,36.028646,-115.047199,36.023781,"Nevada","Clark County",3435,1609,1826,6.5,80.5,1.9,0,4.7,0,2381,106442,14091,38540,3659,13.1,12,46.1,21,19.2,7.8,5.9,76.8,14.5,0.8,3,0,4.9,21.8,1493,74.6,18.1,7.3,0,8.9,36.0262135,-115.0516785
"79",32003001804,-115.109902,36.144368,-115.105414,36.140661,"Nevada","Clark County",3674,2111,1563,65.9,19.2,6.1,0.4,6.3,0,1913,35048,4211,18791,2594,21.3,32.7,15.4,37.5,21.9,14.5,10.7,69.9,11.4,8.6,4.3,4.4,1.4,23.6,1943,91.5,5.4,3.1,0,7.5,36.1425145,-115.107658
"80",32003003631,-115.184259,36.276509,-115.179743,36.272646,"Nevada","Clark County",3732,1872,1860,27.2,31.1,22.1,0,13.8,0.6,2475,62674,7588,23062,2927,10,10.4,34.3,22.9,25.4,8.4,9,84.2,11.3,0.7,0,2.8,1,26.6,1728,82.7,15.7,1.6,0,9.8,36.2745775,-115.182001
"81",32003002970,-115.212252,36.097243,-115.207939,36.093327,"Nevada","Clark County",3810,2017,1793,21.3,27.2,23.1,0,23.4,1.8,2404,41715,7295,27822,4998,12.8,23.8,20.5,34.3,25.7,1.9,17.6,79.6,6.5,6.4,0.5,2.5,4.5,20.9,2268,97,2.4,0.5,0,5.1,36.095285,-115.2100955
"82",32003003249,-115.32784,36.188302,-115.325371,36.18499,"Nevada","Clark County",3733,1896,1837,14.2,59.5,15.6,0.5,7.4,0.3,2639,98077,13750,39023,5856,9.9,18,50.2,11.6,28.8,3,6.4,84.7,6.8,2,2,0,4.5,22.1,1496,84.6,12,3.5,0,8.3,36.186646,-115.3266055
"83",32003005713,-115.099228,35.93958,-115.079008,35.924598,"Nevada","Clark County",6316,2771,3545,4.2,74,4.4,0.5,13.5,0,4850,81532,18211,43168,5861,2.4,2.6,41.1,17.1,33.4,2.4,6,87.6,4,0,0,0.7,7.7,29.9,2682,76.7,16.7,6.1,0.6,5.6,35.932089,-115.089118
"84",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"85",32003003634,-115.173276,36.26164,-115.170981,36.257958,"Nevada","Clark County",4634,2149,2485,31.2,32,24.7,0.2,9.4,0.2,2897,51982,14493,19481,3076,8.6,9.5,16.4,22.6,30.3,12.2,18.5,79.7,10.7,7.2,0.8,1.1,0.4,24,2002,81.8,13.1,5,0,16.1,36.259799,-115.1721285
"86",32003003310,-115.228985,36.283157,-115.22441,36.279515,"Nevada","Clark County",5201,2617,2584,12.6,67.4,8.5,0,5.5,1.3,3839,120136,13094,42071,4225,5.6,10,45.1,20.8,21.7,6.5,5.8,79.5,8,1,1.6,0.8,9.2,27.9,2414,71.3,18.7,10,0,6.8,36.281336,-115.2266975
